Date,Open,Close,Median
2003-01-02,75.33461,77.026772,76.180691
2003-01-03,77.151054,78.059273,77.6051635
2003-01-06,78.298279,79.913956,79.1061175
2003-01-07,80.258125,82.217972,81.2380485
2003-01-08,81.787766,80.487572,81.137669
2003-01-09,81.022942,83.173996,82.098469
2003-01-10,82.07457,83.824089,82.9493295
2003-01-13,84.426384,83.661568,84.043976
2003-01-14,83.393883,84.684509,84.039196
2003-01-15,84.684509,83.738052,84.2112805
2003-01-16,83.556404,82.265778,82.911091
2003-01-17,80.057358,77.724663,78.8910105
2003-01-21,77.724663,76.998085,77.36137400000001
2003-01-22,76.481834,76.19503,76.33843200000001
2003-01-23,76.625237,77.485657,77.055447
2003-01-24,77.05545,75.516251,76.2858505
2003-01-27,74.560226,74.971321,74.7657735
2003-01-28,75.047798,76.586998,75.817398
2003-01-29,76.003822,76.787766,76.395794
2003-01-30,77.724663,74.856598,76.2906305
2003-01-31,74.282982,74.760994,74.521988
2003-02-03,74.760994,74.741875,74.75143449999999
2003-02-04,74.741875,73.699806,74.2208405
2003-02-05,74.426384,73.862335,74.14435950000001
2003-02-06,73.718925,74.101341,73.910133
2003-02-07,74.541107,73.709366,74.1252365
2003-02-10,73.709366,74.483749,74.0965575
2003-02-11,74.856598,73.986618,74.421608
2003-02-12,74.091782,73.135757,73.61376949999999
2003-02-13,72.753349,72.523903,72.638626
2003-02-14,73.040154,74.043976,73.54206500000001
2003-02-18,74.588913,75.841301,75.215107
2003-02-19,75.602295,76.013382,75.8078385
2003-02-20,76.070747,75.669212,75.8699795
2003-02-21,75.994263,76.434036,76.2141495
2003-02-24,76.19503,75.105164,75.650097
2003-02-25,74.47419,75.592735,75.0334625
2003-02-26,75.0,73.996178,74.498089
2003-02-27,74.47419,73.881454,74.17782199999999
2003-02-28,73.61377,74.521988,74.067879
2003-03-03,75.430206,73.929253,74.67972950000001
2003-03-04,74.187378,73.326958,73.75716800000001
2003-03-05,73.326958,74.311661,73.8193095
